4/5/2019,9:01:06 ;01, 36.19872,0;02, .0000005241346,0;03, .3448042,0;04, 21.59889,0;05, 19.92352,0;
4/5/2019,9:01:07 ;01, 36.19872,0;02, .0000005241346,0;03, .3448042,0;04, 21.59889,0;05, 19.92352,0;
4/5/2019,9:01:08 ;01, 36.21264,0;02, .000000381535,0;03, .3499466,0;04, 21.59889,0;05, 19.89548,0;
4/5/2019,9:01:09 ;01, 36.21264,0;02, .0000003396608,0;03, .3448042,0;04, 21.58019,0;05, 19.89828,0;
4/5/2019,9:01:10 ;01, 36.21264,0;02, .0000003396608,0;03, .3448042,0;04, 21.58019,0;05, 19.89828,0;
4/5/2019,9:01:11 ;01, 36.23351,0;02, .0000004512969,0;03, .3448042,0;04, 21.46799,0;05, 19.9628,0;
4/5/2019,9:01:12 ;01, 36.21264,0;02, .0000005805699,0;03, .3448042,0;04, 21.43059,0;05, 20.05823,0;
4/5/2019,9:01:13 ;01, 36.21264,0;02, .0000005805699,0;03, .3448042,0;04, 21.43059,0;05, 20.05823,0;
4/5/2019,9:01:14 ;01, 36.21264,0;02, .0000005996237,0;03, .3499466,0;04, 21.43059,0;05, 20.04419,0;
4/5/2019,9:01:15 ;01, 36.21264,0;02, .0000004207997,0;03, .3499466,0;04, 21.43059,0;05, 20.05823,0;
4/5/2019,9:01:16 ;01, 36.21264,0;02, .0000003225566,0;03, .3448042,0;04, 21.43059,0;05, 20.08912,0;
4/5/2019,9:01:17 ;01, 36.21959,0;02, .000000400471,0;03, .3448042,0;04, 21.41189,0;05, 20.09193,0;
4/5/2019,9:01:18 ;01, 36.21959,0;02, .000000400471,0;03, .3448042,0;04, 21.41189,0;05, 20.09193,0;
4/5/2019,9:01:19 ;01, 36.22655,0;02, .0000003662434,0;03, .3448042,0;04, 21.48669,0;05, 19.99645,0;
4/5/2019,9:01:20 ;01, 36.23351,0;02, .000000277433,0;03, .3499466,0;04, 21.43059,0;05, 20.02172,0;
4/5/2019,9:01:21 ;01, 36.23351,0;02, .000000277433,0;03, .3499466,0;04, 21.43059,0;05, 20.02172,0;
4/5/2019,9:01:22 ;01, 36.22655,0;02, .0000006779107,0;03, .3499466,0;04, 21.50539,0;05, 19.9628,0;
4/5/2019,9:01:23 ;01, 36.21264,0;02, .0000005230079,0;03, .3499466,0;04, 21.52409,0;05, 20.00207,0;
4/5/2019,9:01:24 ;01, 36.21264,0;02, .0000005230079,0;03, .3499466,0;04, 21.52409,0;05, 20.00207,0;
4/5/2019,9:01:25 ;01, 36.21959,0;02, .0000004676161,0;03, .3448042,0;04, 21.54279,0;05, 19.9656,0;
4/5/2019,9:01:26 ;01, 36.22655,0;02, .0000005811949,0;03, .3499466,0;04, 21.59889,0;05, 19.93755,0;
4/5/2019,9:01:27 ;01, 36.21959,0;02, .0000004929425,0;03, .3550889,0;04, 21.63629,0;05, 19.89828,0;
4/5/2019,9:01:28 ;01, 36.21959,0;02, .00000050367,0;03, .3499466,0;04, 21.61759,0;05, 19.97401,0;
4/5/2019,9:01:29 ;01, 36.21959,0;02, .00000050367,0;03, .3499466,0;04, 21.61759,0;05, 19.97401,0;
4/5/2019,9:01:30 ;01, 36.22655,0;02, .000000408746,0;03, .3550889,0;04, 21.59889,0;05, 20.00207,0;
4/5/2019,9:01:31 ;01, 36.20568,0;02, .0000004149522,0;03, .3550889,0;04, 21.59889,0;05, 20.00488,0;
4/5/2019,9:01:32 ;01, 36.20568,0;02, .0000004149522,0;03, .3550889,0;04, 21.59889,0;05, 20.00488,0;
4/5/2019,9:01:33 ;01, 36.21959,0;02, .0000002975395,0;03, .3499466,0;04, 21.58019,0;05, 20.00207,0;
4/5/2019,9:01:34 ;01, 36.20568,0;02, .0000003374743,0;03, .3499466,0;04, 21.56149,0;05, 19.92352,0;
4/5/2019,9:01:35 ;01, 36.20568,0;02, .0000003374743,0;03, .3499466,0;04, 21.56149,0;05, 19.92352,0;
4/5/2019,9:01:36 ;01, 36.21959,0;02, .0000002575737,0;03, .3499466,0;04, 21.46799,0;05, 19.9067,0;
4/5/2019,9:01:37 ;01, 36.21264,0;02, .0000003538425,0;03, .3550889,0;04, 21.54279,0;05, 19.9095,0;
4/5/2019,9:01:38 ;01, 36.21959,0;02, .0000003650623,0;03, .3550889,0;04, 21.52409,0;05, 19.91511,0;
4/5/2019,9:01:39 ;01, 36.21959,0;02, .0000004571638,0;03, .3499466,0;04, 21.52409,0;05, 19.92352,0;
4/5/2019,9:01:40 ;01, 36.21959,0;02, .0000004571638,0;03, .3499466,0;04, 21.52409,0;05, 19.92352,0;
4/5/2019,9:01:41 ;01, 36.20568,0;02, .0000004586429,0;03, .3499466,0;04, 21.44929,0;05, 19.99926,0;
4/5/2019,9:01:42 ;01, 36.21264,0;02, .0000004747162,0;03, .3499466,0;04, 21.46799,0;05, 20.06385,0;
4/5/2019,9:01:43 ;01, 36.21264,0;02, .0000004747162,0;03, .3499466,0;04, 21.46799,0;05, 20.06385,0;
4/5/2019,9:01:44 ;01, 36.21959,0;02, .0000004258122,0;03, .3499466,0;04, 21.44929,0;05, 20.06104,0;
4/5/2019,9:01:45 ;01, 36.21959,0;02, .0000006321004,0;03, .3499466,0;04, 21.52409,0;05, 20.10597,0;
4/5/2019,9:01:46 ;01, 36.21959,0;02, .0000006321004,0;03, .3499466,0;04, 21.52409,0;05, 20.10597,0;
4/5/2019,9:01:47 ;01, 36.21264,0;02, .0000005976905,0;03, .3499466,0;04, 21.58019,0;05, 19.94316,0;
4/5/2019,9:01:48 ;01, 36.21264,0;02, .0000005976905,0;03, .3499466,0;04, 21.58019,0;05, 19.94316,0;
4/5/2019,9:01:49 ;01, 36.21959,0;02, .0000004671127,0;03, .3499466,0;04, 21.46799,0;05, 19.99926,0;
4/5/2019,9:01:50 ;01, 36.21264,0;02, .0000005694292,0;03, .3499466,0;04, 21.59889,0;05, 19.93194,0;
4/5/2019,9:01:51 ;01, 36.21264,0;02, .0000005694292,0;03, .3499466,0;04, 21.59889,0;05, 19.93194,0;
4/5/2019,9:01:52 ;01, 36.21264,0;02, .0000005900196,0;03, .3499466,0;04, 21.61759,0;05, 19.98804,0;
4/5/2019,9:01:53 ;01, 36.22655,0;02, .0000006126727,0;03, .3499466,0;04, 21.63629,0;05, 19.92352,0;
4/5/2019,9:01:54 ;01, 36.22655,0;02, .0000006126727,0;03, .3499466,0;04, 21.63629,0;05, 19.92352,0;
4/5/2019,9:01:55 ;01, 36.22655,0;02, .0000004483912,0;03, .3499466,0;04, 21.50539,0;05, 19.98243,0;
4/5/2019,9:01:56 ;01, 36.22655,0;02, .0000004547104,0;03, .3448042,0;04, 21.54279,0;05, 19.90389,0;
4/5/2019,9:01:57 ;01, 36.22655,0;02, .0000004547104,0;03, .3448042,0;04, 21.54279,0;05, 19.90389,0;
4/5/2019,9:01:58 ;01, 36.21264,0;02, .0000005258298,0;03, .3448042,0;04, 21.52409,0;05, 19.9067,0;
4/5/2019,9:01:59 ;01, 36.21264,0;02, .0000005258298,0;03, .3448042,0;04, 21.52409,0;05, 19.9067,0;
4/5/2019,9:02:00 ;01, 36.20568,0;02, .0000004956027,0;03, .3448042,0;04, 21.50539,0;05, 19.91511,0;
4/5/2019,9:02:01 ;01, 36.22655,0;02, .0000005925658,0;03, .3448042,0;04, 21.43059,0;05, 19.94036,0;
